23.45,12.1,1
20.1,15.4,3
25.4,15.75,1
10.4,10.9,4
24.4,16.15,1
15.85,11.55,4
10.9,20.3,2
20.25,7.05,4
18.8,6.25,4
13.15,12.2,4
16.5,12.6,4
25,13.5,1
25.05,15.5,1
20,7.6,4
25.15,14.55,1
12,11.5,4
18.75,18.55,3
15,7.5,4
21.2,8.7,4
11.7,9.4,4
29.65,13.4,1
19.2,18.8,3
11.25,11.85,4
10.05,11.85,4
15.6,9.45,5
10.65,9.55,4
24.8,15.9,1
12.35,9.65,4
15.2,11.95,4
23.75,11.7,1
8.05,21.55,2
19.55,20.55,3
12.45,22.3,2
17.85,19.5,3
9.75,9.8,4
25.35,15.15,1
11.5,17.1,2
14.6,11.8,4
26.75,14.45,1
20.65,8.8,4
7.35,18.3,2
24.9,11.7,1
25.75,14.75,1
15.4,12.45,4
28.6,15.7,1
13.2,7.55,4
19.1,19.95,3
15.95,12.6,4
30.45,14.7,1
19.45,9.75,4
16.05,9.35,5
10.05,15.9,2
17.55,12.1,4
15.85,7.3,4
15.8,6.4,4
19.65,10.15,4
26.35,11.2,1
20.5,9.4,4
16.55,7.1,4
19.1,11.8,4
14.7,6.9,4
27.65,15.15,1
17,9.6,5
18.3,7.1,4
17.05,19.85,3
14.65,20.3,2
18.95,8.1,4
23.95,13.25,1
20.4,21.4,3
28.15,14.55,1
13.35,13.05,4
8.55,20,2
19.4,8.7,4
16.45,10.1,5
16.9,11.7,4
18.85,12.45,4
12.45,8.7,4
12.15,9.1,4
25.35,16.6,1
28.6,13.9,1
30.8,14.3,1
12.45,6.25,4
15.75,19.45,3
16.35,16.9,3
11.8,6.65,4
12.65,11.65,4
10.35,16.9,2
18.3,11.65,4
26.9,14,1
17.65,6.55,4
14.1,11.7,4
10.1,9.25,4
26,15.7,1
30.2,14.25,1
18.65,20.7,3
25.3,11.5,1
10.95,19.1,2
10.65,19.35,2
19.65,18.2,3
28.75,15.1,1
14.1,6.75,4
14.35,7.55,4
11.25,19.75,2
25.35,13.05,1
13.2,19.2,2
25,12.25,1
21.95,21.9,3
16.1,13.1,4
10.2,20.25,2
21.65,9.65,4
10.9,10.4,4
25.35,14.05,1
7.15,19.9,2
18.85,11.45,4
27.45,15.7,1
26.3,14.35,1
18.35,6.55,4
24.45,13.6,1
12.65,7.3,4
19.9,9.45,4
11.85,10,4
16.5,9.8,5
28.05,15.75,1
21.15,9.35,4
13.85,12.4,4
11.55,7.95,4
26.3,13.8,1
14.65,12.4,4
12.65,17.65,2
17.3,17.75,3
11.4,12.55,4
23.75,12.4,1
24.8,15.2,1
23.7,13.65,1
25.8,11.5,1
12.05,12.75,4
11.15,9.8,4
17.45,9.85,5
24.45,15.7,1
15.05,11.55,4
29.15,14.85,1
11.9,12.1,4
19.6,8.05,4
11.7,8.85,4
11.65,7.35,4
11.6,20.95,2
8.95,18,2
24.15,12.8,1
13.95,5.8,4
11.95,8.25,4
29.65,15.3,1
20.55,7.55,4
14.75,5.75,4
25.9,12.95,1
13.15,20.8,2
9.65,19.75,2
12.9,9.7,4
17.15,12.65,4
10.9,22.35,2
17.8,18.65,3
25.15,11.05,1
16.6,9.05,5
25.5,12.6,1
15.75,18.25,3
14.2,12.95,4
15.05,12.95,4
28.6,14.4,1
17.75,12.65,4
17.2,15.9,3
15.6,12.95,4
16.05,9.65,5
20.1,19.9,3
29.9,13.85,1
12.6,15.8,2
26.15,14.85,1
17.25,6.9,4
26.3,11.85,1
16.95,21.6,3
10.25,21.25,2
29.5,14.3,1
20.3,8.2,4
17.85,7.3,4
24.15,11.35,1
30.05,15.1,1
15.1,6.35,4
12.7,13,4
25.8,10.9,1
9.75,10.6,4
15.9,9,5
19.6,6.25,4
8.25,16.65,2
17.05,6.25,4
18.85,18.9,3
26,13.4,1
13.8,7.3,4
29.1,15.5,1
23.5,12.85,1
18.75,15.5,3
24.45,14.2,1
15.9,12.1,4
11.25,11.1,4
23.2,13.35,1
18.25,12.25,4
21.75,8.25,4
21.65,7.8,4
20.65,10.35,4
12.7,6.7,4
19.4,10.7,4
10.6,11.6,4
12.15,20,2
19.3,11.15,4
17.5,13,4
14.45,11.2,4
25.85,15.25,1
15.5,5.9,4
12.1,18.75,2
15.95,20.75,3
18.95,10.8,4
20.25,17.2,3
30.25,13.35,1
21.4,15.95,3
19,16.75,3
16.3,11.65,4
13.2,10.25,4
28.25,15.2,1
18.3,18.1,3
16.6,9.45,5
8.5,19.2,2
20.85,6.85,4
13.25,8.05,4
27.45,14,1
19.1,21.7,3
18.5,19.9,3
16.75,13.1,4
13.9,16.7,2
29,14.15,1
15.1,9.55,5
10.05,18.1,2
19,22.7,3
29.15,13.7,1
13.95,10.9,4
